time (min), RI signal
8.08833,0
8.09,0
8.09167,0
8.09333,0
8.095,-0.001
8.09667,-0.002
8.09833,-0.002
8.1,-0.002
8.10167,-0.001
8.10333,-0.001
8.105,-0.002
8.10667,-0.002
8.10833,-0.002
8.11,-0.002
8.11167,-0.002
8.11333,-0.003
8.115,-0.005
8.11667,-0.005
8.11833,-0.005
8.12,-0.005
8.12167,-0.004
8.12333,-0.003
8.125,-0.003
8.12667,-0.003
8.12833,-0.002
8.13,-0.002
8.13167,-0.002
8.13333,-0.002
8.135,-0.002
8.13667,-0.002
8.13833,-0.001
8.14,-0.001
8.14167,-0.002
8.14333,-0.001
8.145,-0.001
8.14667,-0.002
8.14833,-0.001
8.15,0
8.15167,-0.002
8.15333,-0.001
8.155,0
8.15667,0
8.15833,0
8.16,-0.001
8.16167,-0.002
8.16333,-0.001
8.165,0
8.16667,0
8.16833,0
8.17,0
8.17167,0
8.17333,-0.001
8.175,-0.001
8.17667,-0.001
8.17833,0
8.18,0.001
8.18167,0.001
8.18333,0.001
8.185,0
8.18667,-0.001
8.18833,-0.001
8.19,-0.002
8.19167,-0.003
8.19333,-0.004
8.195,-0.002
8.19667,-0.001
8.19833,0
8.2,0.001
8.20167,0.002
8.20333,0.002
8.205,0.001
8.20667,0
8.20833,0
8.21,-0.001
8.21167,-0.002
8.21333,-0.003
8.215,-0.002
8.21667,-0.001
8.21833,0
8.22,0.001
8.22167,0
8.22333,-0.001
8.225,0
8.22667,-0.001
8.22833,-0.002
8.23,-0.001
8.23167,-0.002
8.23333,-0.002
8.235,0
8.23667,-0.001
8.23833,-0.001
8.24,-0.002
8.24167,-0.003
8.24333,-0.004
8.245,-0.005
8.24667,-0.006
8.24833,-0.005
8.25,-0.005
8.25167,-0.002
8.25333,-0.001
8.255,-0.002
8.25667,-0.001
8.25833,-0.002
8.26,-0.001
8.26167,-0.001
8.26333,0
8.265,0
8.26667,-0.001
8.26833,-0.002
8.27,-0.002
8.27167,-0.002
8.27333,-0.001
8.275,0
8.27667,0.001
8.27833,0.002
8.28,0.003
8.28167,0.005
8.28333,0.004
8.285,0.002
8.28667,0
8.28833,0
8.29,-0.003
8.29167,-0.004
8.29333,-0.005
8.295,-0.005
8.29667,-0.006
8.29833,-0.005
8.3,-0.004
8.30167,-0.002
8.30333,-0.001
8.305,-0.001
8.30667,-0.002
8.30833,-0.003
8.31,-0.002
8.31167,-0.001
8.31333,-0.003
8.315,-0.004
8.31667,-0.006
8.31833,-0.007
8.32,-0.006
8.32167,-0.006
8.32333,-0.006
8.325,-0.005
8.32667,-0.003
8.32833,-0.002
8.33,-0.001
8.33167,-0.001
8.33333,-0.001
8.335,-0.002
8.33667,-0.001
8.33833,0
8.34,0
8.34167,0
8.34333,0.001
8.345,0.003
8.34667,0.004
8.34833,0.002
8.35,0.002
8.35167,0.002
8.35333,0.001
8.355,0
8.35667,0
8.35833,0
8.36,0
8.36167,0.001
8.36333,0.001
8.365,0.001
8.36667,0.001
8.36833,0
8.37,0
8.37167,0
8.37333,-0.002
8.375,-0.001
8.37667,-0.002
8.37833,-0.002
8.38,-0.003
8.38167,-0.003
8.38333,-0.001
8.385,-0.001
8.38667,-0.001
8.38833,-0.003
8.39,-0.005
8.39167,-0.006
8.39333,-0.005
8.395,-0.004
8.39667,-0.004
8.39833,-0.005
8.4,-0.006
8.40167,-0.006
8.40333,-0.005
8.405,-0.006
8.40667,-0.003
8.40833,-0.001
8.41,-0.002
8.41167,-0.002
8.41333,-0.001
8.415,0
8.41667,0
8.41833,0
8.42,0.001
8.42167,0
8.42333,0
8.425,0
8.42667,-0.001
8.42833,-0.002
8.43,-0.002
8.43167,-0.001
8.43333,-0.001
8.435,-0.001
8.43667,0
8.43833,-0.001
8.44,0
8.44167,0
8.44333,0
8.445,-0.001
8.44667,-0.001
8.44833,0
8.45,-0.001
8.45167,-0.001
8.45333,-0.001
8.455,0
8.45667,0
8.45833,0
8.46,0
8.46167,0
8.46333,-0.001
8.465,0
8.46667,0.001
8.46833,-0.001
8.47,0
8.47167,0
8.47333,0.001
8.475,0
8.47667,0
8.47833,-0.002
8.48,-0.002
8.48167,0
8.48333,-0.001
8.485,-0.001
8.48667,0
8.48833,0.001
8.49,0.003
8.49167,0.003
8.49333,0.003
8.495,0.003
8.49667,0.002
8.49833,0.004
8.5,0.004
8.50167,0.004
8.50333,0.004
8.505,0.002
8.50667,0
8.50833,0
8.51,0
8.51167,-0.002
8.51333,-0.003
8.515,-0.004
8.51667,-0.004
8.51833,-0.005
8.52,-0.004
8.52167,-0.005
8.52333,-0.004
8.525,-0.003
8.52667,-0.002
8.52833,-0.002
8.53,-0.002
8.53167,-0.001
8.53333,-0.002
8.535,-0.003
8.53667,-0.003
8.53833,-0.002
8.54,-0.001
8.54167,-0.002
8.54333,-0.001
8.545,0
8.54667,0
8.54833,-0.001
8.55,-0.002
8.55167,-0.003
8.55333,-0.003
8.555,-0.004
8.55667,-0.002
8.55833,-0.002
8.56,-0.002
8.56167,-0.003
8.56333,-0.004
8.565,-0.001
8.56667,0
8.56833,0.001
8.57,0.001
